,ACTB,AKT1,CD36,CD44,IL6,INS,PTPRC,TFRC,TNF,label
112,110548.881,7734.0493,14.3158,6254.9794,351.97,0.0,71384.3126,6077.5237,22.0181,4
113,175405.3667,9891.9498,9.3729,5664.8381,117.4061,0.0,79568.1297,11001.5843,35.5377,4
114,112414.7481,7025.1705,10.8788,17806.7759,1495.9346,0.0,55475.5047,12118.2072,63.2154,4
115,63158.15,5842.7436,7.3589,14082.9001,1639.983,0.0,66338.8459,4326.9665,43.205,4
116,92614.5395,6055.0329,10.7947,6435.3611,336.5284,0.0,46757.9121,4364.3194,19.8942,4
117,138614.3565,8254.6745,22.3484,7530.8872,67.3004,0.0,54198.2205,9014.8744,32.2587,4
118,120749.9406,7173.4691,14.5679,16510.3921,2446.4781,0.0,41171.1541,12572.6551,57.7693,4
119,71654.5028,6180.869,7.4803,15208.8581,3745.8868,0.0,60111.8197,3945.69,26.0217,4
120,108862.4753,7665.7657,10.0791,6049.8369,139.8165,0.0,43650.7805,5736.877,11.5848,4
121,116813.9458,8463.3782,12.8924,4600.5769,9.088,0.0,46349.4314,7293.6233,13.3456,4
122,74183.1809,6551.5467,13.0296,17314.7554,591.5228,0.0,31560.4785,14945.3206,22.5291,4
123,39069.2528,5018.3105,6.5642,13385.7181,786.4453,0.0,36069.082,5988.4698,5.657,4
124,73283.3882,5622.9108,8.6898,5968.571,94.1036,0.0,38016.8254,4907.4477,12.3814,4
125,85473.1763,5796.2202,10.6744,3839.9848,2.7824,0.0,34409.7458,7285.8046,9.9346,4
126,105029.393,10057.0499,28.0398,21817.9658,468.0012,0.0,55264.0682,18128.8053,44.6555,4
127,82898.6875,8235.3035,21.8945,17125.8155,588.7001,0.0,63398.5687,6123.2177,13.4286,4
128,20244.1784,141.3257,18.7801,620.4804,5.4006,0.0,1204.352,143.8604,3.5031,0
129,4170.9826,92.8661,37.6717,411.9247,4.1257,0.0,506.9188,88.4675,1.6442,0
130,2203.9695,261.5498,90.6208,267.6953,1.0662,9.6401,308.9496,213.5015,3.5323,0
131,21482.1674,194.2101,23.8803,4097.6436,27.3371,0.0,2385.0887,288.581,1.575,0
132,20578.3317,34.1372,12.1022,346.7523,0.0,0.0,172.2294,137.3457,0.0,4
133,17563.0566,136.4014,49.6152,3811.9411,0.9877,1.012,948.0682,412.7076,3.9839,4
