,0
TCF7,0.0018900700025926893
DTL,0.001888736263736264
CCR1,0.0018808604522890248
AMN,0.0018571428571428576
ZBED6CL,0.0018514135437212352
SLC35E4,0.0018442460317460315
KIAA0040,0.0018315018315018317
GIMAP5,0.0017777777777777779
LOC100506411,0.0017623782959703411
PDE6G,0.0017549857549857557
SREBF1,0.001747071050642479
RN7SL68P,0.0017317931456548351
FTCD,0.0017139889196675906
LAIR2,0.0017051542449222398
KRT18P67,0.0017021285877865016
BID,0.0016805555555555558
STEAP3,0.0016779261111559247
CDH19,0.0016666666666666666
BCORL1,0.0016666666666666666
FKBP9,0.0016658653846153848
RBFOX1,0.001663379355687048
CFD,0.0016615198711063374
CSPG4P13,0.0016544011312144488
LBH,0.0016500000000000004
PRIM1,0.0016482830385015608
GFRA3,0.0016436781609195403
TTLL10-AS1,0.0016397515527950307
FREM3,0.0016378676470588237
SLC26A9,0.00162936142198815
SHROOM1,0.0016253579951657183
CSRP2,0.001586538461538463
MMP9,0.0015861404663733058
EBI3,0.0015730654761904762
LOC100128317,0.001570212765957446
MED4-AS1,0.001530041152263375
RCBTB2,0.0015111013104324139
RNA5SP233,0.0015094966761633416
HERPUD1,0.0014978120978120988
SERINC2,0.001482718894009216
MTMR6,0.0014823646850044363
LOC101928251,0.001479418410452893
CDKAL1,0.0014721200980392158
PDS5B,0.0014650974025974032
CDC20,0.0014639881557174793
RPSAP3,0.0014600124944952532
POTEB3,0.0014598765432098767
PERP,0.0014560987766594666
DUSP23,0.0014518518518518513
CTRB2,0.001375
GRIA4,0.0013675213675213673
KIF23,0.0013371320037986697
BAG6,0.001304347826086957
SH3GL1,0.001289856406618272
SERPINF2,0.0012535612535612534
FAM43A,0.0012500000000000005
ZDHHC7,0.0012465659340659342
RPL36AP46,0.0012457330219187938
LOC101929532,0.0012447927250558834
LOC440895,0.001240601503759399
GM2A,0.001234577922077923
FANCF,0.0012337662337662337
GDA,0.0012301957129543335
MIR7-3HG,0.0012222222222222222
GRHL1,0.0012122448979591837
TRAM2-AS1,0.0012109739049394222
RAD51AP1,0.0012087912087912081
SDC1,0.0012057692307692305
LOC105369201,0.0012013295346628677
MED12L,0.0011942784926470588
KRTAP24-1,0.0011904761904761904
RRAGA,0.0011883822629612532
TRAM1L1,0.001187977065170048
POLG2,0.0011753066877720623
MAP4K3,0.0011752136752136752
GINS3,0.0011647869674185466
